Time,PCD,PICC
1115450,0,0
67545470,1,0
9510,0,0
37690,1,0
9510,0,0
65990,1,0
9520,0,0
65990,1,0
9520,0,0
28240,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101123960,1,0
9510,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
65990,1,0
9520,0,0
28240,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101124100,1,0
9520,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
65990,1,0
9510,0,0
28250,1,0
9510,0,0
65990,1,0
9520,0,0
75430,1,0
9510,0,0
97927390,1,0
9510,0,0
37690,1,0
9510,0,0
65990,1,0
9520,0,0
65990,1,0
9510,0,0
28250,1,0
9510,0,0
65990,1,0
9520,0,0
75430,1,0
9510,0,0
101123950,1,0
9520,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
65990,1,0
9520,0,0
28240,1,0
9510,0,0
65990,1,0
9520,0,0
75430,1,0
9510,0,0
97927390,1,0
9520,0,0
37670,1,0
9520,0,0
65990,1,0
9510,0,0
66000,1,0
9510,0,0
28250,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101123950,1,0
9510,0,0
37690,1,0
9510,0,0
66000,1,0
9510,0,0
66000,1,0
9510,0,0
28240,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
97927250,1,0
9510,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
65990,1,0
9520,0,0
28240,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101124100,1,0
9520,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
65990,1,0
9520,0,0
28240,1,0
9510,0,0
65990,1,0
9520,0,0
75430,1,0
9510,0,0
97927390,1,0
9510,0,0
37690,1,0
9510,0,0
65990,1,0
9510,0,0
66000,1,0
9510,0,0
28250,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101124100,1,0
9510,0,0
37680,1,0
9520,0,0
65990,1,0
9510,0,0
66000,1,0
9510,0,0
28240,1,0
9520,0,0
65990,1,0
9510,0,0
75440,1,0
9510,0,0
97927240,1,0
9510,0,0
37680,1,0
9520,0,0
65990,1,0
9520,0,0
65990,1,0
9510,0,0
28250,1,0
9510,0,0
66000,1,0
9510,0,0
75430,1,0
9510,0,0
101123810,1,0
9510,0,0
37680,1,0
9510,0,0
66000,1,0
9510,0,0
66000,1,0
